iter	Passed	Remaining
0	65	65526
1	66	33127
2	66	22265
3	67	16829
4	68	13569
5	68	11393
6	69	9844
7	69	8677
8	70	7771
9	71	7044
10	71	6451
11	72	5958
12	72	5541
13	73	5183
14	74	4871
15	74	4600
16	75	4360
17	75	4145
18	76	3954
19	77	3783
20	77	3626
21	78	3487
22	79	3358
23	79	3240
24	80	3130
25	80	3030
26	81	2935
27	82	2848
28	82	2765
29	83	2690
30	83	2618
31	84	2551
32	84	2488
33	85	2429
34	86	2374
35	86	2320
36	87	2271
37	87	2223
38	88	2179
39	89	2136
40	89	2094
41	90	2056
42	90	2019
43	91	1984
44	91	1949
45	92	1917
46	92	1885
47	93	1854
48	94	1826
49	94	1798
50	95	1771
51	95	1745
52	96	1720
53	96	1696
54	97	1675
55	98	1653
56	98	1632
57	99	1611
58	99	1591
59	100	1572
60	100	1553
61	101	1535
62	102	1518
63	102	1500
64	103	1484
65	103	1468
66	104	1452
67	104	1433
68	105	1418
69	105	1404
70	106	1390
71	106	1376
72	107	1363
73	107	1350
74	108	1338
75	109	1328
76	109	1317
77	110	1306
78	111	1296
79	111	1285
80	112	1274
81	112	1263
82	113	1253
83	115	1261
84	116	1249
85	116	1239
86	117	1228
87	117	1221
88	118	1216
89	119	1208
90	122	1224
91	123	1217
92	126	1232
93	127	1224
94	127	1215
95	128	1206
96	128	1198
97	129	1190
98	129	1182
99	130	1174
100	131	1167
101	131	1157
102	132	1149
103	132	1142
104	133	1135
105	133	1128
106	134	1121
107	134	1114
108	135	1107
109	136	1101
110	136	1094
111	137	1088
112	137	1081
113	138	1075
114	139	1070
115	139	1063
116	140	1057
117	140	1051
118	141	1045
119	141	1039
120	142	1033
121	142	1028
122	143	1020
123	143	1015
124	144	1010
125	144	1005
126	145	1000
127	145	993
128	146	989
129	147	984
130	147	980
131	148	975
132	148	970
133	149	966
134	150	961
135	150	957
136	151	953
137	151	947
138	152	943
139	152	939
140	153	935
141	154	931
142	154	927
143	155	922
144	155	919
145	156	914
146	157	911
147	157	907
148	158	903
149	158	899
150	159	895
151	159	892
152	160	888
153	161	884
154	161	881
155	162	877
156	162	874
157	163	870
158	163	867
159	164	863
160	165	860
161	165	857
162	166	853
163	166	850
164	167	847
165	168	844
166	168	841
167	169	838
168	169	835
169	170	832
170	171	829
171	171	825
172	172	822
173	172	819
174	173	817
175	173	814
176	174	811
177	175	808
178	175	805
179	176	802
180	176	798
181	177	795
182	177	793
183	178	790
184	178	787
185	179	785
186	179	782
187	180	779
188	181	777
189	181	774
190	182	771
191	182	769
192	183	766
193	184	764
194	184	762
195	185	759
196	185	757
197	186	754
198	186	752
199	187	750
200	188	747
201	188	745
202	189	742
203	189	740
204	190	738
205	190	735
206	191	733
207	192	731
208	192	729
209	193	726
210	193	724
211	194	722
212	194	720
213	195	718
214	196	716
215	196	713
216	197	711
217	197	709
218	198	707
219	199	705
220	199	703
221	200	701
222	200	699
223	201	697
224	201	695
225	202	693
226	203	691
227	203	689
228	204	687
229	204	685
230	205	683
231	206	681
232	206	680
233	207	678
234	207	676
235	208	674
236	208	672
237	209	670
238	210	668
239	210	666
240	211	665
241	211	663
242	212	661
243	212	659
244	213	657
245	214	656
246	214	654
247	215	652
248	215	650
249	216	649
250	216	647
251	217	645
252	218	644
253	218	642
254	219	640
255	219	639
256	220	637
257	221	635
258	221	634
259	222	632
260	222	631
261	223	629
262	224	627
263	224	626
264	225	624
265	225	623
266	226	622
267	227	620
268	227	618
269	228	617
270	228	615
271	229	614
272	230	612
273	230	611
274	231	609
275	231	608
276	232	606
277	232	605
278	233	603
279	234	602
280	234	600
281	235	599
282	235	597
283	236	596
284	237	594
285	237	593
286	238	591
287	238	590
288	239	588
289	239	587
290	240	586
291	241	584
292	241	583
293	242	581
294	242	580
295	243	579
296	244	577
297	244	576
298	245	574
299	245	573
300	246	572
301	246	570
302	247	569
303	248	568
304	248	566
305	249	565
306	249	564
307	250	562
308	251	561
309	251	560
310	252	558
311	252	557
312	253	556
313	253	554
314	254	553
315	255	552
316	255	550
317	256	549
318	256	548
319	257	547
320	258	545
321	258	544
322	259	543
323	259	542
324	260	540
325	260	539
326	261	538
327	262	537
328	262	535
329	263	534
330	263	533
331	264	532
332	265	530
333	265	529
334	266	528
335	266	527
336	267	525
337	267	524
338	268	523
339	269	522
340	269	521
341	270	519
342	270	518
343	271	517
344	271	516
345	272	515
346	273	513
347	273	512
348	274	511
349	274	510
350	275	508
351	275	507
352	276	506
353	276	505
354	277	504
355	277	502
356	278	501
357	279	500
358	279	499
359	280	498
360	280	497
361	281	496
362	282	494
363	282	493
364	283	492
365	283	491
366	284	490
367	285	489
368	285	488
369	286	487
370	286	486
371	287	485
372	288	484
373	288	483
374	289	482
375	290	481
376	290	480
377	291	479
378	291	478
379	292	476
380	292	475
381	293	474
382	293	473
383	294	472
384	295	471
385	295	470
386	296	469
387	296	467
388	297	466
389	297	465
390	298	464
391	299	463
392	299	462
393	300	461
394	300	460
395	301	459
396	301	458
397	302	457
398	302	456
399	303	455
400	304	454
401	304	453
402	305	452
403	305	451
404	306	450
405	307	449
406	307	448
407	308	447
408	308	446
409	309	445
410	309	444
411	310	443
412	311	442
413	311	441
414	312	440
415	312	439
416	313	438
417	313	437
418	314	436
419	315	435
420	315	434
421	316	433
422	316	432
423	317	431
424	317	430
425	318	429
426	319	428
427	319	427
428	320	426
429	320	425
430	321	424
431	321	423
432	322	422
433	323	421
434	323	420
435	324	419
436	324	418
437	325	417
438	325	416
439	326	415
440	327	414
441	327	413
442	328	413
443	329	412
444	329	411
