iter	Passed	Remaining
0	0	624
1	1	567
2	1	618
3	3	763
4	3	779
5	4	757
6	5	724
7	5	719
8	6	698
9	6	685
10	7	675
11	8	663
12	8	652
13	9	646
14	9	645
15	10	634
16	10	624
17	11	616
18	11	608
19	12	601
20	12	595
21	13	591
22	13	585
23	14	580
24	14	577
25	15	571
26	15	567
27	16	568
28	17	577
29	18	600
30	19	598
31	19	596
32	20	600
33	21	600
34	21	597
35	22	595
36	22	591
37	23	590
38	24	602
39	25	600
40	25	599
41	27	616
42	27	615
43	28	612
44	28	609
45	29	605
46	29	601
47	30	603
48	31	604
49	31	603
50	32	600
51	32	598
52	34	608
53	34	612
54	36	619
55	36	622
56	37	620
57	38	620
58	38	617
59	39	615
60	39	613
61	40	611
62	40	609
63	41	607
64	42	605
65	42	603
66	43	601
67	43	599
68	45	610
69	46	618
70	47	622
71	48	626
72	49	630
73	50	629
74	51	630
75	52	636
76	53	645
77	54	643
78	55	641
79	55	639
80	56	637
81	56	635
82	57	630
83	57	629
84	58	629
85	59	628
86	59	627
87	60	626
88	62	638
89	63	640
90	64	641
91	65	644
92	65	643
93	66	642
94	67	640
95	67	638
96	68	636
97	68	634
98	69	632
99	70	630
100	70	628
101	71	627
102	71	625
103	72	623
104	73	622
105	73	620
106	74	620
107	74	619
108	75	619
109	76	619
110	77	618
111	77	617
112	78	616
113	79	614
114	79	613
115	80	611
116	80	608
117	81	607
118	81	605
119	82	603
120	83	603
121	83	601
122	84	600
123	85	602
124	86	603
125	86	602
126	87	601
127	88	601
128	89	602
129	89	602
130	90	601
131	92	609
132	94	613
133	95	615
134	95	614
135	98	624
136	98	622
137	99	621
138	99	619
139	102	629
140	103	629
141	104	631
142	105	633
143	107	639
144	109	643
145	109	641
146	110	639
147	110	638
148	111	636
149	112	635
150	112	633
151	113	631
152	113	630
153	114	629
154	115	628
155	116	631
156	117	633
157	118	632
158	119	631
159	120	630
160	120	628
161	121	628
162	122	629
163	123	628
164	124	628
165	125	628
166	125	627
167	126	626
168	127	625
169	127	623
170	128	622
171	128	620
172	129	618
173	130	617
174	130	616
175	131	616
176	132	618
177	133	617
178	135	619
179	135	619
180	136	617
181	137	616
182	137	615
183	138	613
184	139	614
185	140	613
186	140	612
187	141	611
188	142	609
189	142	608
190	143	606
191	143	604
192	144	603
193	144	601
194	145	599
195	145	597
196	146	597
197	147	597
198	148	597
199	149	596
200	149	595
201	150	594
202	151	594
203	152	593
204	152	592
205	153	590
206	153	589
207	154	587
208	154	586
209	155	584
210	156	583
211	156	582
212	157	581
213	157	579
214	158	577
215	158	576
216	159	575
217	160	574
218	160	572
219	161	571
220	161	570
221	162	569
222	163	570
223	164	569
224	165	569
225	165	567
226	166	566
227	166	565
228	167	563
229	167	561
230	168	560
231	168	559
232	169	557
233	169	555
234	170	554
235	170	552
236	171	551
237	171	549
238	172	548
239	172	547
240	173	546
241	174	545
242	174	544
243	175	544
244	176	543
245	177	543
246	178	543
247	179	543
248	179	542
249	180	541
250	181	540
251	181	539
252	182	538
253	182	537
254	183	536
255	184	535
256	184	534
257	185	532
258	185	531
259	186	530
260	186	528
261	187	527
262	187	526
263	188	526
264	189	526
265	190	526
266	191	527
267	192	526
268	194	528
269	194	527
270	195	525
271	195	524
272	196	523
273	196	521
274	197	520
275	198	520
276	198	519
277	199	517
278	199	516
279	200	515
280	201	514
281	201	513
282	202	511
283	202	510
284	203	509
285	203	509
286	204	508
287	205	507
288	206	507
289	207	507
290	207	506
291	208	506
292	209	505
293	209	504
294	210	503
295	211	502
296	211	501
297	212	500
298	212	499
299	213	497
300	213	496
301	214	495
302	215	494
303	215	493
304	216	492
305	216	491
306	217	490
307	217	489
308	218	488
309	219	488
310	219	487
311	220	486
312	221	485
313	221	484
314	222	483
315	223	482
316	223	482
317	224	481
318	225	480
319	225	479
320	226	478
321	227	478
322	227	477
323	228	477
324	229	476
325	229	475
326	230	474
327	231	473
328	231	472
329	232	471
330	232	470
331	233	469
332	233	468
333	234	467
334	234	466
335	235	465
336	236	464
337	236	463
338	237	463
339	238	462
340	238	461
341	239	460
342	239	459
343	240	458
344	240	457
345	241	456
346	242	455
347	242	454
348	243	454
